req_id,area,verification,test_ids
REQ-GOV-001,GOV,I,artifact-rust-toolchain.toml
REQ-GOV-002,GOV,A,cargo-metadata-cycle-analysis
REQ-GOV-011,GOV,T,gate-clippy-restriction-lints
REQ-GOV-015,GOV,T,TST-GOV-015
REQ-GOV-031,GOV,T,gate-fmt-clippy-build-test
REQ-GOV-032,GOV,I,artifact-ci-workflow
REQ-GOV-050,GOV,T,TST-GOV-050
REQ-GOV-060,GOV,T,TST-GOV-060
REQ-GOV-061,GOV,T,TST-GOV-060
REQ-GOV-070,GOV,I,artifact-legacy-dir
REQ-GOV-071,GOV,T,TST-GOV-071
REQ-UNI-001,UNI,I,artifact-architecture-md
REQ-UNI-003,UNI,T,TST-GOV-071
REQ-UNI-005,UNI,T,TST-GOV-071
REQ-UNI-010,UNI,I,cargo-metadata-members
REQ-GOV-010,GOV,I,artifact-secmem-deny-unsafe
REQ-SECMEM-001,SECMEM,T,TST-SECMEM-001
REQ-SECMEM-002,SECMEM,T,TST-SECMEM-002
REQ-SECMEM-003,SECMEM,T,TST-SECMEM-003
REQ-BSV-041,BSV,T,TST-BSV-041
REQ-BSV-042,BSV,T,TST-BSV-042
REQ-BSV-010,BSV,T,TST-BSV-010
REQ-BSV-020,BSV,T,TST-BSV-020
REQ-BSV-030,BSV,T,TST-BSV-030
REQ-BSV-031,BSV,T,TST-BSV-031
REQ-BSV-032,BSV,T,TST-BSV-032
REQ-CKD-010,CKD,T,TST-CKD-010
REQ-CKD-004,CKD,T,TST-CKD-004
REQ-CIPH-010,CIPH,T,TST-CIPH-010
REQ-OVL-022,OVL,T,TST-OVL-022
REQ-OVL-052,OVL,T,TST-OVL-052
REQ-CUS-001,CUS,T,TST-CUS-001
REQ-CUS-002,CUS,T,TST-CUS-002
REQ-CUS-003,CUS,T,TST-CUS-003
REQ-CUS-004,CUS,T,TST-CUS-004
REQ-CUS-005,CUS,T,TST-CUS-005
REQ-CUS-006,CUS,T,TST-CUS-006
REQ-KST-010,KST,T,TST-KST-010
REQ-KST-011,KST,T,TST-KST-011
REQ-KST-012,KST,T,TST-KST-012
REQ-KST-020,KST,T,TST-KST-020
REQ-OBS-001,OBS,T,TST-OBS-001
REQ-OBS-003,OBS,T,TST-OBS-003
REQ-OBS-004,OBS,T,TST-OBS-004
REQ-API-001,API,T,TST-API-001
REQ-API-004,API,T,TST-API-004
REQ-API-006,API,T,TST-API-006
REQ-RES-001,RES,T,TST-RES-001
REQ-RES-002,RES,T,TST-RES-002
REQ-RES-003,RES,T,TST-RES-003
REQ-RES-004,RES,T,TST-RES-004
REQ-RES-005,RES,T,TST-RES-005
REQ-SES-011,SES,T,TST-SES-011
REQ-SES-020,SES,T,TST-SES-020
REQ-SES-030,SES,T,TST-SES-030
REQ-SES-040,SES,T,TST-SES-040
REQ-SES-050,SES,T,TST-SES-050
REQ-SEC-001,SEC,T,TST-SEC-001
REQ-SEC-002,SEC,T,TST-SEC-002
REQ-SEC-003,SEC,T,TST-SEC-003
REQ-SEC-004,SEC,T,TST-SEC-004
REQ-SEC-005,SEC,T,TST-SEC-005
REQ-SEC-006,SEC,T,TST-SEC-006
REQ-SEC-007,SEC,T,TST-SEC-007
REQ-SEC-008,SEC,T,TST-SEC-008
REQ-SEC-009,SEC,T,TST-SEC-009
REQ-SEC-031,SEC,T,TST-SEC-031
REQ-SEC-100,SEC,T,TST-SEC-100
REQ-CON-001,CON,T,TST-CON-001
REQ-CON-002,CON,T,TST-CON-002
REQ-CON-011,CON,T,TST-CON-011
REQ-CON-020,CON,T,TST-CON-020
REQ-CON-021,CON,T,TST-CON-021
REQ-TST-010,TST,I,artifact-coverage-config
REQ-TST-011,TST,T,TST-TST-011
REQ-TST-012,TST,T,TST-TST-012
REQ-TST-050,TST,I,artifact-test-fixture-policy
REQ-BENCH-001,BENCH,T,TST-BENCH-001
REQ-BENCH-003,BENCH,I,artifact-bench-methodology
REQ-CMP-001,CMP,T,TST-CMP-001
REQ-CMP-002,CMP,T,TST-CMP-002
REQ-CMP-003,CMP,T,TST-CMP-003
REQ-CMP-004,CMP,T,TST-CMP-004
REQ-CMP-005,CMP,I,artifact-slos-md
REQ-DOC-004,DOC,I,artifact-docs-suite
